Student_ID,Gender,Age,Program,Year_of_Study,Math_Score,English_Score,Data_Skills_PreTest,Attendance_Pct,Study_Hours_Per_Week,Parental_Education,Family_Income_Level,Has_Internet_At_Home,Uses_Learning_Apps,Participates_in_Group_Work,Previous_CGPA,Distance_From_Campus_km,Scholarship_Status,Final_Grade,At_Risk
STUD0001,Male,18,Nursing,1,77.3,60.4,55.7,98.9,8,Secondary,Medium,TRUE,FALSE,TRUE,3.55,26.9,TRUE,62.8,0
STUD0002,Female,22,Business,1,73.9,87.3,58.3,83.3,6,None,Low,TRUE,FALSE,FALSE,3.58,15.4,FALSE,66,0
STUD0003,Female,21,Education,3,77.5,62.7,55.1,100,7,Secondary,Medium,TRUE,TRUE,FALSE,3.4,33.6,FALSE,62.4,0
STUD0004,Female,25,Business,4,53.9,42.8,48.1,74.4,6,Diploma,Low,TRUE,TRUE,FALSE,2.53,9.1,FALSE,46.1,1
STUD0005,Male,21,Education,2,67.1,45.1,23.1,97,5,Degree,High,FALSE,TRUE,TRUE,3.24,21.4,FALSE,51.5,0
STUD0006,Male,18,Agriculture,2,28.7,43.2,65.2,48.2,10,Diploma,Medium,FALSE,TRUE,TRUE,1.8,9.4,FALSE,27.4,1
STUD0007,Male,21,Agriculture,4,71.4,65.7,82.5,88.5,10,None,Low,TRUE,FALSE,TRUE,3.6,15.5,FALSE,66.5,0
STUD0008,Female,20,Education,3,74.2,79.8,56.9,80.8,5,None,Low,FALSE,FALSE,TRUE,3.1,7.5,FALSE,57.6,0
STUD0009,Female,23,Nursing,1,59.7,66.9,30.8,91.2,4,Secondary,High,TRUE,TRUE,TRUE,3.52,21.2,TRUE,52.2,0
STUD0010,Female,22,Nursing,4,69.4,69.6,55.7,100,7,Secondary,Medium,TRUE,TRUE,TRUE,3.54,5.8,TRUE,58.6,0
STUD0011,Male,18,Education,2,42.3,47.7,30.6,66.3,3,None,High,TRUE,TRUE,FALSE,1.98,10.7,FALSE,42.8,1
