"","sex","degree","income","marital","age","height","weight","wrkstat","wkvsfam","wealth","waypaid","realinc","realrinc","satjob","rincome","partyid","fefam","fechld","absingle"
"1",1,2,NA,5,43,73,235,3,3,NA,2,NA,NA,1,NA,5,3,1,2
"2",2,1,12,4,74,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,2,NA,NA,1
"3",1,3,12,1,42,68,225,1,2,8,2,72640,45400,2,12,4,3,1,NA
"4",2,3,12,1,63,68,170,1,3,10,1,119879.41732,54480,1,12,2,3,2,NA
"5",1,4,12,3,71,NA,NA,5,NA,NA,NA,119879.41732,NA,NA,NA,6,NA,NA,2
"6",2,3,NA,2,67,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,3,1,1
"7",2,1,10,3,59,66,NA,1,4,3,2,8512.5,8512.5,1,10,0,NA,NA,2
"8",1,1,12,5,43,66,135,1,2,6,2,24970,17025,1,12,5,NA,NA,2
"9",2,0,5,2,62,67,NA,1,4,1,1,2497,908,2,2,3,4,3,NA
"10",1,1,12,1,55,69,193,1,2,9,2,45400,45400,2,12,1,3,3,NA
"11",1,4,12,3,59,68,175,1,2,8,1,72640,54480,1,12,6,4,1,1
"12",2,1,11,4,34,62,212,2,3,3,2,9647.5,8512.5,2,10,1,3,2,NA
"13",2,1,11,3,61,NA,NA,5,NA,NA,NA,10782.5,NA,NA,NA,1,3,3,2
"14",1,3,12,1,44,71,180,1,3,5,1,54480,45400,2,12,0,NA,NA,1
"15",2,1,2,5,41,NA,NA,7,NA,NA,NA,908,NA,3,NA,4,4,1,NA
"16",2,1,12,2,75,67,147,2,3,9,2,30645,5107.5,2,9,3,3,4,2
"17",2,3,12,1,55,NA,NA,4,NA,NA,NA,45400,30645,4,12,2,4,4,NA
"18",2,3,NA,1,30,NA,NA,7,NA,NA,NA,NA,NA,2,NA,3,2,4,2
"19",2,4,12,3,40,72,280,1,3,8,1,37455,30645,2,12,1,NA,NA,1
"20",1,4,NA,5,30,68,162,1,2,6,1,NA,NA,3,NA,4,4,2,NA
"21",2,1,12,1,34,64,145,1,2,6,2,54480,17025,1,12,5,3,2,2
"22",2,2,NA,5,29,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"23",2,2,12,1,40,62,180,1,4,6,2,45400,45400,1,12,2,4,1,NA
"24",1,1,12,5,37,68,213,1,1,7,2,30645,20430,1,12,0,4,1,1
"25",2,3,12,1,56,65,156,2,3,8,2,37455,8512.5,1,10,5,3,2,2
"26",1,0,12,2,82,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,5,NA,NA,2
"27",2,1,12,3,68,67,172,1,3,8,2,17025,17025,2,12,1,3,3,1
"28",2,0,9,5,42,NA,NA,7,NA,NA,NA,5107.5,NA,1,NA,1,NA,NA,2
"29",2,1,12,3,40,NA,NA,7,NA,NA,NA,24970,NA,2,NA,6,2,2,NA
"30",1,1,12,5,20,74,178,2,3,2,2,54480,6242.5,1,9,4,NA,NA,2
"31",2,1,NA,1,74,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA
"32",1,0,12,1,89,NA,NA,5,NA,NA,NA,14755,NA,NA,NA,6,NA,NA,2
"33",2,3,NA,1,60,NA,NA,7,NA,NA,NA,NA,NA,1,NA,3,4,1,NA
"34",2,3,12,3,56,61,135,1,1,7,1,54480,54480,4,12,1,4,1,1
"35",2,0,NA,3,55,65,140,2,3,NA,2,NA,NA,1,NA,2,2,2,NA
"36",1,4,12,1,65,66,145,1,3,8,1,63560,45400,1,12,6,NA,NA,1
"37",2,4,12,2,71,61,NA,2,3,NA,2,45400,NA,2,NA,0,3,1,1
"38",1,4,12,5,34,73,207,1,1,1,1,20430,20430,4,12,0,NA,NA,1
"39",1,4,12,1,45,69,200,1,1,NA,1,30645,20430,2,12,4,3,3,NA
"40",2,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1
"41",2,1,9,3,65,63,135,2,3,2,1,6242.5,6242.5,1,9,0,3,3,NA
"42",1,1,12,5,52,64,170,1,4,4,1,17025,17025,2,12,1,3,2,1
"43",2,1,12,2,62,NA,NA,5,NA,NA,NA,20430,NA,NA,NA,0,3,2,NA
"44",1,4,NA,1,60,NA,NA,3,NA,9,NA,NA,NA,NA,NA,0,NA,NA,1
"45",2,3,12,3,62,NA,NA,7,NA,NA,NA,37455,30645,1,12,2,NA,NA,2
"46",2,1,12,2,46,62,135,2,3,5,2,14755,14755,2,12,1,3,4,NA
"47",1,4,12,1,40,68,165,2,3,10,1,54480,37455,2,12,1,3,2,NA
"48",2,4,12,1,53,NA,NA,7,NA,NA,NA,119879.41732,NA,3,NA,1,4,2,NA
"49",1,3,12,3,75,NA,NA,5,NA,NA,NA,54480,NA,NA,NA,5,4,3,NA
"50",2,3,12,3,67,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,2,4,2,2
"51",1,1,NA,5,22,67,140,1,1,NA,4,NA,NA,1,NA,3,NA,NA,1
"52",2,1,12,4,42,63,153,1,3,2,2,12485,12485,2,12,1,4,1,NA
"53",2,4,12,3,59,64,176,1,2,4,1,37455,37455,2,12,3,4,2,NA
"54",2,4,12,1,33,NA,NA,6,NA,NA,NA,24970,24970,NA,12,3,NA,NA,1
"55",1,3,12,1,46,69,184,1,3,10,1,119879.41732,151050.72136,1,12,3,3,2,NA
"56",1,3,12,3,55,66,145,1,4,11,1,63560,63560,2,12,5,NA,NA,1
"57",2,3,12,1,43,NA,NA,7,NA,NA,NA,54480,NA,1,NA,3,3,1,NA
"58",2,1,8,5,45,NA,NA,4,NA,NA,NA,4086,4086,3,8,2,4,1,1
"59",1,0,12,5,23,71,230,1,4,1,2,30645,30645,3,12,1,NA,NA,2
"60",2,1,7,4,28,63,100,2,4,1,2,3405,2951,2,6,1,2,2,NA
"61",2,1,5,1,27,NA,NA,7,NA,NA,NA,2497,1589,1,3,0,3,1,2
"62",2,0,12,1,42,60,170,2,4,1,2,17025,9647.5,3,11,0,2,1,NA
"63",2,3,12,5,41,62,NA,1,3,4,2,24970,24970,2,12,0,3,2,2
"64",2,1,12,2,64,NA,NA,5,NA,NA,NA,17025,NA,NA,NA,0,4,3,1
"65",1,0,NA,5,53,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,3,2,NA
"66",1,4,11,3,79,NA,NA,5,NA,NA,NA,9647.5,NA,NA,NA,2,1,1,2
"67",1,1,12,1,34,68,290,1,1,1,2,45400,24970,2,12,1,3,2,1
"68",2,1,12,4,59,NA,NA,5,NA,NA,NA,72640,NA,NA,NA,0,NA,NA,1
"69",2,4,12,5,32,67,150,1,2,7,1,63560,63560,2,12,0,2,2,1
"70",2,3,10,1,33,NA,NA,7,NA,NA,NA,7377.5,NA,4,NA,1,2,3,NA
"71",1,1,8,5,35,NA,NA,7,NA,NA,NA,4086,NA,NA,NA,0,3,2,NA
"72",1,2,12,1,37,68,165,1,1,4,1,63560,30645,2,12,0,3,2,NA
"73",2,3,12,1,28,NA,NA,7,NA,NA,NA,30645,NA,1,NA,3,4,1,2
"74",2,4,12,1,42,65,120,1,3,7,1,119879.41732,14755,2,12,1,NA,NA,1
"75",1,1,12,5,21,76,200,1,4,9,2,45400,3405,2,7,7,NA,NA,2
"76",2,2,12,5,33,61,160,1,3,NA,2,119879.41732,17025,1,12,3,4,1,1
"77",2,3,12,1,37,65,120,1,1,8,1,119879.41732,63560,1,12,3,NA,NA,1
"78",2,0,12,2,89,NA,NA,7,NA,NA,NA,30645,NA,2,NA,3,2,4,NA
"79",2,2,NA,1,47,NA,NA,7,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1
"80",2,0,NA,1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"81",2,3,12,1,71,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,2,4,1,1
"82",2,1,12,1,42,65,NA,1,2,8,1,63560,NA,1,NA,1,3,3,NA
"83",2,1,12,3,37,59,133,1,3,NA,2,24970,7377.5,1,10,1,3,2,NA
"84",2,1,12,1,40,67,195,1,3,5,2,30645,20430,1,12,1,4,2,1
"85",1,1,12,4,70,67,169,2,3,2,11,20430,9647.5,1,11,5,NA,NA,1
"86",1,3,12,5,28,68,185,1,2,1,1,24970,20430,2,12,1,4,2,NA
"87",2,1,12,5,53,62,160,1,2,1,1,17025,227,2,1,0,2,4,NA
"88",1,1,12,1,46,72,160,3,1,10,2,119879.41732,151050.72136,1,12,0,NA,NA,1
"89",1,4,12,1,55,72,210,1,3,7,1,45400,24970,1,12,0,4,1,NA
"90",1,4,8,5,28,65,165,1,2,3,12,4086,4086,1,8,1,2,3,NA
"91",1,4,12,5,42,75,NA,3,4,9,1,45400,45400,3,12,2,3,2,NA
"92",2,4,12,1,77,69,144,2,2,3,2,54480,8512.5,1,10,0,4,2,1
"93",1,4,NA,5,29,71,170,2,3,NA,1,NA,NA,1,NA,3,4,1,NA
"94",2,0,NA,2,62,NA,NA,7,NA,NA,NA,NA,NA,1,NA,2,3,1,NA
"95",2,3,12,5,30,63,NA,1,2,5,2,45400,45400,2,12,2,4,1,1
"96",1,1,NA,5,22,70,190,2,3,NA,2,NA,NA,3,NA,1,NA,NA,1
"97",2,1,12,1,69,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,0,NA,NA,1
"98",1,3,12,4,45,64,142,3,4,10,2,63560,24970,1,12,0,4,1,2
"99",2,1,NA,1,32,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
"100",2,0,8,2,60,NA,NA,7,NA,NA,NA,4086,NA,1,NA,4,NA,NA,1
"101",1,0,12,3,48,76,250,1,1,8,2,24970,24970,1,12,4,2,3,2
"102",2,1,2,3,81,NA,NA,5,NA,NA,NA,908,NA,NA,NA,1,2,2,NA
"103",1,4,12,1,50,68,160,1,2,10,1,119879.41732,54480,3,12,2,NA,NA,1
"104",2,1,12,1,78,NA,NA,5,NA,NA,NA,45400,NA,NA,NA,4,NA,NA,2
"105",1,4,12,5,56,65,190,3,3,10,1,30645,30645,3,12,0,4,2,NA
"106",1,1,12,5,60,68,190,1,3,8,1,45400,45400,2,12,4,3,2,2
"107",1,1,12,5,23,77,185,1,4,4,2,72640,20430,1,12,5,2,3,NA
"108",2,1,NA,5,67,65,247,3,2,NA,1,NA,NA,3,NA,3,3,2,NA
"109",2,3,NA,1,54,63,NA,2,4,NA,2,NA,NA,1,NA,3,NA,NA,2
"110",2,2,12,1,62,NA,NA,7,NA,NA,NA,72640,NA,1,NA,3,3,2,NA
"111",2,2,12,3,55,69,182,1,4,8,2,45400,45400,1,12,0,NA,NA,1
"112",2,1,12,1,56,68,130,2,4,8,2,72640,6242.5,1,9,1,2,3,NA
"113",1,2,12,5,58,NA,NA,7,NA,NA,NA,45400,NA,1,NA,0,4,1,NA
"114",2,1,9,3,74,NA,NA,5,NA,NA,NA,5107.5,NA,NA,NA,1,3,2,NA
"115",1,3,12,1,70,72,160,1,3,11,1,119879.41732,63560,1,12,1,3,2,NA
"116",1,3,12,1,35,80,232,1,3,9,1,119879.41732,NA,2,NA,7,4,1,1
"117",1,0,12,1,65,NA,NA,5,NA,NA,NA,37455,NA,NA,NA,1,3,1,NA
"118",2,2,12,1,42,NA,NA,8,NA,NA,NA,24970,NA,NA,NA,3,NA,NA,2
"119",2,1,12,1,48,65,140,2,3,8,6,30645,6242.5,1,9,5,NA,NA,2
"120",1,1,12,5,32,72,183,1,3,3,2,20430,20430,2,12,4,3,1,1
"121",2,1,12,1,56,NA,NA,7,NA,NA,NA,45400,NA,1,NA,4,NA,NA,2
"122",2,1,12,1,61,67,200,1,4,8,1,37455,20430,1,12,3,3,3,1
"123",2,3,12,2,76,66,185,2,4,10,10,30645,5107.5,1,9,0,NA,NA,1
"124",2,3,12,1,59,67,145,2,3,10,2,37455,14755,1,12,2,NA,NA,1
"125",1,3,12,5,69,68,185,2,3,4,4,14755,14755,2,12,0,4,3,1
"126",1,4,12,5,48,66,135,1,3,8,1,45400,45400,1,12,1,2,3,NA
"127",2,4,12,1,68,65,NA,1,4,7,2,37455,37455,1,12,6,4,1,1
"128",2,3,1,5,39,64,105,2,3,NA,11,227,NA,1,NA,1,NA,NA,1
"129",1,4,12,1,38,73,205,1,3,6,1,63560,20430,1,12,1,3,2,1
"130",2,4,12,5,39,66,135,1,3,3,6,72640,72640,2,12,0,NA,NA,1
"131",2,1,NA,1,52,NA,NA,7,NA,NA,NA,NA,NA,2,NA,3,2,3,NA
"132",2,4,12,1,41,NA,NA,7,NA,NA,NA,17025,NA,1,NA,1,3,1,1
"133",1,3,12,1,60,72,180,1,1,9,1,119879.41732,63560,1,12,0,3,1,NA
"134",1,1,12,1,69,81,320,1,2,10,1,119879.41732,72640,1,12,0,NA,NA,2
"135",1,1,12,1,60,70,190,1,4,11,1,119879.41732,54480,1,12,0,4,2,NA
"136",2,1,12,5,22,67,208,1,4,1,2,24970,NA,1,NA,3,1,3,NA
"137",1,1,12,5,33,NA,NA,6,NA,NA,NA,37455,4086,NA,8,3,4,1,1
