year,Unemployment,Inflation,FedRate
1859,5.133333333,0.908471887,3.933333333
1860,5.233333333,1.810777198,3.696666667
1861,5.533333333,1.622720278,2.936666667
1862,6.266666667,1.79533515,2.296666667
1863,6.8,0.537032974,2.003333333
1864,7,0.71492423,1.733333333
1865,6.766666667,0.891862131,1.683333333
1866,6.2,1.067616292,2.4
1867,5.633333333,2.303439367,2.456666667
1868,5.533333333,1.234841113,2.606666667
1869,5.566666667,1.055409583,2.846666667
1870,5.533333333,1.227801885,2.923333333
1871,5.766666667,1.573084833,2.966666667
1872,5.733333333,0.348735855,2.963333333
1873,5.5,0.522534366,3.33
1874,5.566666667,2.429508553,3.453333333
1875,5.466666667,1.381693947,3.463333333
1876,5.2,1.205079457,3.49
1877,5,2.057441313,3.456666667
1878,4.966666667,1.70648723,3.576666667
1879,4.9,1.868765344,3.973333333
1880,4.666666667,1.860075218,4.076666667
1881,4.366666667,1.683504169,4.073333333
1882,4.1,2.678955179,4.166666667
1883,3.866666667,2.329457499,4.556666667
1884,3.833333333,3.633385841,4.913333333
1885,3.766666667,3.926411895,5.41
1886,3.7,3.565663806,5.563333333
1887,3.833333333,1.770982969,4.823333333
1888,3.833333333,2.562058399,3.99
1889,3.8,3.654444486,3.893333333
1890,3.9,4.404291448,4.173333333
1891,3.733333333,4.511033616,4.786666667
1892,3.566666667,4.460726867,5.98
1893,3.533333333,3.654384002,5.943333333
1894,3.4,5.569233898,5.916666667
1895,3.4,3.867638909,6.566666667
1896,3.433333333,5.440260297,8.326666667
1897,3.566666667,5.799304192,8.983333333
1898,3.566666667,5.148444333,8.94
1899,4.166666667,5.503702985,8.573333333
1900,4.766666667,5.567243662,7.88
1901,5.166666667,3.166425071,6.703333333
1902,5.833333333,5.177183989,5.566666667
1903,5.933333333,6.045455124,3.856666667
1904,5.9,5.2980907,4.563333333
1905,6.033333333,4.058290416,5.473333333
1906,5.933333333,3.243085708,4.75
1907,5.766666667,5.899433642,3.54
1908,5.7,2.41155736,4.3
1909,5.566666667,3.903698542,4.74
1910,5.366666667,4.733783059,5.143333333
1911,4.933333333,5.289943314,6.536666667
1912,4.933333333,6.545600607,7.816666667
1913,4.8,7.503569742,10.56
1914,4.766666667,6.785772564,9.996666667
1915,5.133333333,8.039317406,9.323333333
1916,5.2,8.883007359,11.25
1917,5.633333333,12.04910378,12.09
1918,6.6,12.01099938,9.346666667
1919,8.266666667,9.110124625,6.303333333
1920,8.866666667,5.590232011,5.42
1921,8.466666667,7.201995005,6.16
1922,8.3,6.879776473,5.413333333
1923,7.733333333,4.264639379,4.826666667
1924,7.566666667,4.219650735,5.196666667
1925,7.733333333,5.495112475,5.283333333
1926,7.766666667,6.903156403,4.873333333
1927,7.5,6.604139926,4.66
1928,7.133333333,6.496871901,5.156666667
1929,6.9,5.599469286,5.82
1930,6.666666667,6.652232091,6.513333333
1931,6.333333333,6.714166677,6.756666667
1932,6,7.860791804,7.283333333
1933,6.033333333,7.051930027,8.1
1934,5.9,7.979096242,9.583333333
1935,5.866666667,7.664905191,10.07333333
1936,5.7,8.992657109,10.18
1937,5.866666667,8.113557928,10.94666667
1938,5.966666667,8.026523419,13.57666667
1939,6.3,8.959434591,15.04666667
1940,7.333333333,9.11822665,12.68666667
1941,7.666666667,8.914995668,9.836666667
1942,7.4,10.55036327,15.85333333
1943,7.433333333,10.08148164,16.57
1944,7.4,7.057853422,17.78
1945,7.4,7.698713993,17.57666667
1946,8.233333333,7.241441375,13.58666667
1947,8.833333333,5.577162388,14.22666667
1948,9.433333333,5.136114589,14.51333333
1949,9.9,5.490696365,11.00666667
1950,10.66666667,4.113606565,9.286666667
1951,10.36666667,3.19009223,8.653333333
1952,10.13333333,3.573282897,8.803333333
1953,9.366666667,3.368196441,9.46
1954,8.533333333,3.340071236,9.43
1955,7.866666667,4.788428282,9.686666667
1956,7.433333333,3.32935547,10.55666667
1957,7.433333333,3.134636809,11.39
1958,7.3,2.778174802,9.266666667
1959,7.233333333,4.241003584,8.476666667
1960,7.3,2.621169789,7.923333333
1961,7.2,2.117125116,7.9
1962,7.033333333,2.805514603,8.103333333
1963,7.033333333,1.556109012,7.826666667
1964,7.166666667,1.870036132,6.92
1965,6.966666667,2.497517247,6.206666667
1966,6.833333333,2.850368356,6.266666667
1967,6.6,3.560698994,6.22
1968,6.266666667,2.805206302,6.65
1969,6,2.88847161,6.843333333
1970,5.833333333,3.224791924,6.916666667
1971,5.7,2.692928558,6.663333333
1972,5.466666667,4.030768458,7.156666667
1973,5.466666667,4.684828035,7.983333333
1974,5.333333333,3.109399333,8.47
1975,5.2,4.108620129,9.443333333
1976,5.233333333,3.970496225,9.726666667
1977,5.233333333,2.880473321,9.083333333
1978,5.366666667,2.954856759,8.613333333
1979,5.3,4.485675292,8.25
1980,5.333333333,4.575213279,8.243333333
1981,5.7,3.834411761,8.16
1982,6.133333333,3.479078925,7.743333333
1983,6.6,4.622233376,6.426666667
1984,6.833333333,2.828453337,5.863333333
1985,6.866666667,2.586408119,5.643333333
1986,7.1,2.127900397,4.816666667
1987,7.366666667,3.039160136,4.023333333
1988,7.6,2.275219436,3.77
1989,7.633333333,1.306763658,3.256666667
1990,7.366666667,2.514368309,3.036666667
1991,7.133333333,3.313806677,3.04
1992,7.066666667,2.13721389,3
1993,6.8,1.828914877,3.06
1994,6.633333333,2.242798788,2.99
1995,6.566666667,2.062402633,3.213333333
1996,6.2,1.842935197,3.94
1997,6,2.374883285,4.486666667
1998,5.633333333,1.864998457,5.166666667
1999,5.466666667,2.924983423,5.81
2000,5.666666667,1.679383963,6.02
2001,5.666666667,1.835146207,5.796666667
2002,5.566666667,1.948253471,5.72
2003,5.533333333,2.462291442,5.363333333
2004,5.5,1.365874582,5.243333333
