Customer_ID,Age,Gender,Tenure_Months,Contract_Type,Payment_Method,Internet_Service,Monthly_Charges,Total_Charges,Monthly_Data_Usage_GB,Call_Duration_Minutes,Customer_Service_Calls,Service_Outages_Last_Month,Satisfaction_Score,Churn_Status
e4fbb2f7,48,Male,13,Month-to-month,Electronic check,Fiber optic,116.62,1539.7,482.80,849,1,0,8.3,No
36ab549d,NULL,Female,37,One year,Electronic check,DSL,60.9,NULL,194.00,924,1,0,10.0,Yes
a1c8d6e1,50,Male,16,Month-to-month,Electronic check,DSL,62.87,996.37,178.30,527,1,1,5.6,Yes
e5859bd3,60,Male,37,Month-to-month,Credit card,No,54.39,2019.8,45.90,284,1,0,6.1,No
93d63458,NULL,Male,12,Two year,Bank transfer,DSL,56.65,713.54,166.70,474,2,0,8.5,No
00d09199,39,Female,12,One year,Credit card,DSL,58.05,NULL,230.40,1395,2,0,7.2,No
adc1bf79,61,Female,12,Month-to-month,Electronic check,Fiber optic,76.42,900.11,285.10,382,1,0,7.3,No
06df3d3d,51,Male,20,Two year,Bank transfer,No,29.8,626.42,24.70,363,2,2,NULL,No
97ecea0e,36,Male,39,Two year,Mailed check,DSL,72.57,2865.52,2309.80,180,1,0,9.2,No
ec7cb35d,49,Female,13,Two year,Credit card,Fiber optic,50.19,632.29,341.20,125,3,1,3.0,Yes
11228ad1,36,Male,12,Month-to-month,Electronic check,Fiber optic,102.39,1298.64,215.20,194,2,0,7.7,Yes
2e9c916b,36,Female,24,Month-to-month,Electronic check,DSL,363.94,8734.54,126.00,835,3,0,6.7,No
c7f8cf1d,45,Male,7,One year,Electronic check,No,40.92,310.15,8.60,899,3,0,NULL,Yes
14fec856,19,Female,40,One year,Credit card,Fiber optic,91.38,3673.39,3237.70,1944,3,0,5.8,No
b2667e50,21,Male,21,Month-to-month,Bank transfer,Fiber optic,106.21,2212.96,60.30,338,2,0,2.5,Yes
1794ecca,35,Female,21,One year,Mailed check,No,34.61,715.52,11.90,94,2,2,NULL,No
bcc35737,30,Male,42,Month-to-month,Mailed check,No,49.36,2074.81,30.00,119,4,3,9.5,Yes
991e5728,46,Other,50,Month-to-month,Credit card,Fiber optic,NULL,4807.25,248.20,475,1,1,8.7,No
e51a98ca,31,Male,18,Month-to-month,Credit card,DSL,77.93,1423.26,207.50,1429,0,0,6.9,No
109b8446,25,Female,12,One year,Credit card,No,61.68,692.77,11.80,540,2,1,4.7,Yes
300f1031,NULL,Male,16,Month-to-month,Electronic check,Fiber optic,97.98,1568.05,138.80,677,2,2,8.7,No
bd53a3e8,39,Male,12,Two year,Electronic check,No,NULL,371.41,111.00,446,0,1,NULL,No
cd0f2bc7,43,Female,9,One year,Credit card,No,56.45,522.52,22.80,240,0,0,9.1,No
6df72ed5,25,Male,8,One year,Mailed check,DSL,57.79,407.22,57.80,957,4,0,5.5,Yes
2557abc0,35,Female,16,Two year,Electronic check,NULL,32.54,479.09,25.20,1183,2,1,NULL,No
c4561499,NULL,Female,30,One year,Bank transfer,Fiber optic,109.39,3266.78,44.50,394,2,0,10.0,No
3229c10c,28,Female,23,Two year,Credit card,Fiber optic,122.07,2820.58,249.10,786,1,0,5.0,No
2bd907bc,NULL,Male,27,Month-to-month,Mailed check,NULL,84.54,2288.12,56.50,402,0,2,8.1,Yes
2ae2029a,35,Female,25,Month-to-month,Bank transfer,No,29.68,768.26,39.70,757,1,0,NULL,No
f975b979,38,Male,5,Month-to-month,Credit card,Fiber optic,84.86,427.0,125.30,55,1,1,6.7,No
d2fab089,35,Female,15,Month-to-month,Mailed check,Fiber optic,102.44,1536.16,330.00,583,0,0,8.3,No
cbbeb84e,NULL,Female,21,Two year,Electronic check,No,34.6,699.81,6.90,400,1,0,NULL,No
14b1bdf6,42,Female,20,Month-to-month,Credit card,Fiber optic,83.71,1668.62,178.20,971,1,0,8.1,No
b7728238,29,Female,14,MTM,Credit card,Fiber optic,80.9,1132.11,236.60,1114,2,0,5.0,No
cc07b271,52,Female,23,One year,Credit card,No,31.43,671.52,28.70,245,3,0,NULL,No
3a3e506c,27,Male,42,One year,Bank transfer,Fiber optic,79.43,3313.8,170.80,996,0,0,8.1,No
f3fb7a64,-5,Female,29,Month-to-month,Electronic check,No,36.61,1073.27,10.90,507,1,1,NULL,No
d3728066,18,Male,37,One year,Credit card,No,47.88,1776.05,99.70,314,1,1,7.6,No
30c53bc4,26,Female,45,Month-to-month,Electronic check,Fiber optic,100.52,4517.07,258.10,744,1,0,8.9,No
45bfdea1,44,Female,36,Month-to-month,Credit card,Fiber optic,119.4,4283.21,258.90,1614,2,1,4.2,Yes
68f1e61a,51,Female,43,One year,Credit card,DSL,78.63,3337.52,203.60,549,2,0,6.4,No
8b3d1792,105,Male,4,One year,Bank transfer,NULL,68.54,219.78,538.00,546,2,0,10.0,Yes
a61051a4,41,Female,24,Month-to-month,Credit card,Fiber optic,89.05,2129.53,248.10,578,2,2,9.5,Yes
fb22e76f,38,Male,11,Two year,Credit card,Fiber optic,80.86,926.68,242.90,1127,0,0,8.3,No
f6004243,NULL,Male,31,Month-to-month,Electronic check,DSL,77.96,2417.68,172.50,304,3,0,6.9,Yes
7b76997c,33,Male,34,Month-to-month,Bank transfer,DSL,67.15,2308.63,200.40,221,1,2,9.1,Yes
354c1498,36,Male,11,Month-to-month,Electronic check,DSL,53.47,558.75,140.90,482,1,0,8.0,Yes
c7b47375,55,Male,35,One year,Bank transfer,DSL,75.73,2657.63,258.90,1135,2,0,4.5,Yes
29bbd3c3,46,Female,20,One year,Electronic check,Fiber optic,85.15,1685.41,242.30,981,1,0,9.0,No
e448bec4,21,Male,21,Month-to-month,Mailed check,DSL,68.98,1430.02,83.40,1327,2,1,5.6,Yes
fad9af3f,46,Male,35,Month-to-month,Credit card,DSL,74.35,2620.86,193.00,1385,1,0,8.6,No
c3633047,NULL,Female,12,One year,Credit card,DSL,40.13,478.55,82.40,539,2,1,NULL,Yes
121f0fa1,34,Male,35,Month-to-month,Mailed check,Fiber optic,102.24,3543.76,76.10,556,2,1,10.0,Yes
e99f6e66,49,Female,12,Month-to-month,Bank transfer,No,40.74,491.33,10.70,224,2,0,NULL,No
206c18d5,54,Female,20,One year,Bank transfer,DSL,68.0,1342.1,18.90,531,1,2,5.2,No
a6b9f28b,150,Female,12,Month-to-month,Credit card,Fiber optic,52.47,593.53,258.80,651,1,2,6.0,No
fb930b78,32,Female,25,Two year,Bank transfer,Fiber optic,83.49,2062.37,59.50,202,0,1,6.6,No
c6230ed4,38,Female,24,Month-to-month,Bank transfer,DSL,96.46,2366.19,51.20,2416,2,0,7.2,No
63afd6c7,46,Female,22,One year,Credit card,Fiber optic,62.34,1401.79,79.40,750,2,1,9.6,No
86e81243,54,Male,15,Month-to-month,Mailed check,DSL,71.94,1028.74,164.90,536,5,1,7.3,Yes
76f88c17,36,Female,33,Two year,Credit card,NULL,102.8,3387.69,353.50,1202,3,1,3.3,No
c2a89c68,40,Male,4,Month-to-month,Credit card,DSL,NULL,159.27,24.50,1318,3,1,NULL,No
a9af106c,29,Female,18,One year,Credit card,No,48.44,865.27,55.80,63,1,1,10.0,No
75dd33c2,28,Male,38,One year,Electronic check,DSL,334.68,12701.24,98.20,947,2,0,7.4,No
967ffa9f,52,Female,43,Month-to-month,Mailed check,Fiber optic,112.24,4845.0,458.60,193,3,2,8.9,No
67a366d0,58,Male,23,Month-to-month,Credit card,No,37.42,884.23,3.60,1462,3,0,NULL,No
5e010988,41,Female,23,One year,Mailed check,DSL,58.68,1375.87,86.10,204,3,0,5.4,No
